time,year,month,PF,pop,season1,season2,season3,season4,season5,season6,dpopdt,ERA5,GSOD,IMD,ERA5_RF,GSOD_RF
2015.1666666666667,2015,3,6,5284688,0.1667,0.6667,0.1667,0,0,0,0,46.236,51.014,NA,54.99,52.547110000000004
2015.25,2015,4,12,5284688,0.0208,0.4792,0.4792,0.0208,0,0,0,66.066,68.784,NA,70.23,72.83399
2015.3333333333333,2015,5,21,5284688,0,0.1667,0.6667,0.1667,0,0,0,65.837,69.125,NA,68.68,73.97322
2015.4166666666667,2015,6,17,5284688,0,0.0208,0.4792,0.4792,0.0208,0,0,78.886,79.904,NA,79.51,85.567948
2015.5,2015,7,120,5284688,0,0,0.1667,0.6667,0.1667,0,0,83.316,81.728,NA,68.32,81.14839
2015.5833333333333,2015,8,218,5284688,0,0,0.0208,0.4792,0.4792,0.0208,0,83.098,79.389,NA,69.15,85.549288
2015.6666666666667,2015,9,368,5284688,0,0,0,0.1667,0.6667,0.1667,0,78.315,78.917,NA,80.31,80.33234
2015.75,2015,10,394,5284688,0.0208,0,0,0.0208,0.4792,0.4792,0,59.088,61.993,NA,67.32,58.62004
2015.8333333333333,2015,11,188,5284688,0.1667,0,0,0,0.1667,0.6667,0,51.284,56.403,NA,61.95,56.05565
2015.9166666666667,2015,12,136,5284688,0.4792,0.0208,0,0,0.0208,0.4792,0,43.737,48.754,NA,51.98,51.78063
2016,2016,1,26,5799965,0.6667,0.1667,0,0,0,0.1667,515277,45.958,49.856,NA,54.99,51.8448
2016.0833333333333,2016,2,7,5799965,0.4792,0.4792,0.0208,0,0,0.0208,0,47.52,54.608,NA,53.59,54.74704
2016.1666666666667,2016,3,13,5799965,0.1667,0.6667,0.1667,0,0,0,0,44.679,53.651,NA,51.38,53.50475
2016.25,2016,4,10,5799965,0.0208,0.4792,0.4792,0.0208,0,0,0,57.198,58.219,NA,64.09,59.81313
2016.3333333333333,2016,5,6,5799965,0,0.1667,0.6667,0.1667,0,0,0,70.791,73.147,NA,73.38,74.6111
2016.4166666666667,2016,6,14,5799965,0,0.0208,0.4792,0.4792,0.0208,0,0,75.479,77.172,NA,74.78,77.87996
2016.5,2016,7,54,5799965,0,0,0.1667,0.6667,0.1667,0,0,85.142,85.765,NA,84.02,84.97593
2016.5833333333333,2016,8,163,5799965,0,0,0.0208,0.4792,0.4792,0.0208,0,86.048,84.999,NA,86.97,78.28879
2016.6666666666667,2016,9,326,5799965,0,0,0,0.1667,0.6667,0.1667,0,82.654,81.914,NA,82.19,80.96398
2016.75,2016,10,341,5799965,0.0208,0,0,0.0208,0.4792,0.4792,0,68.532,73.85,NA,73.96,77.64379
2016.8333333333333,2016,11,345,5799965,0.1667,0,0,0,0.1667,0.6667,0,42.666,50.768,NA,51.95,51.88661
2016.9166666666667,2016,12,80,5799965,0.4792,0.0208,0,0,0.0208,0.4792,0,44.447,52.011,NA,49.79,52.02532
2017,2017,1,31,6159129,0.6667,0.1667,0,0,0,0.1667,359164,48.758,54.672,NA,55.03,54.74704
2017.0833333333333,2017,2,15,6159129,0.4792,0.4792,0.0208,0,0,0.0208,0,40.722,47.975,NA,54.09,50.75917
2017.1666666666667,2017,3,11,6159129,0.1667,0.6667,0.1667,0,0,0,0,40.753,48.417,NA,54.09,51.81173
2017.25,2017,4,3,6159129,0.0208,0.4792,0.4792,0.0208,0,0,0,55.308,58.974,NA,61.35,58.89168
2017.3333333333333,2017,5,7,6159129,0,0.1667,0.6667,0.1667,0,0,0,67.525,69.787,NA,66.76,71.43201
2017.4166666666667,2017,6,11,6159129,0,0.0208,0.4792,0.4792,0.0208,0,0,79.103,78.131,NA,75.69,74.92583
2017.5,2017,7,38,6159129,0,0,0.1667,0.6667,0.1667,0,0,85.644,85.182,NA,86.61,78.30056
2017.5833333333333,2017,8,154,6159129,0,0,0.0208,0.4792,0.4792,0.0208,0,85.072,83.835,NA,85.09,83.82708
2017.6666666666667,2017,9,164,6159129,0,0,0,0.1667,0.6667,0.1667,0,81.34,80.172,NA,81.73,80.37485
2017.75,2017,10,217,6159129,0.0208,0,0,0.0208,0.4792,0.4792,0,61.676,66.668,NA,63.32,65.8009
2017.8333333333333,2017,11,185,6159129,0.1667,0,0,0,0.1667,0.6667,0,47.175,51.728,NA,48.42,51.97734
2017.9166666666667,2017,12,47,6159129,0.4792,0.0208,0,0,0.0208,0.4792,0,56.519,58.988,NA,62.72,58.89168
2018,2018,1,10,6499723,0.6667,0.1667,0,0,0,0.1667,340594,47.247,51.182,NA,50.92,51.21163
2018.0833333333333,2018,2,2,6499723,0.4792,0.4792,0.0208,0,0,0.0208,0,41.277,45.111,NA,51.49,45.75134
2018.1666666666667,2018,3,4,6499723,0.1667,0.6667,0.1667,0,0,0,0,39.759,48.186,NA,55.18,51.64841
2018.25,2018,4,4,6499723,0.0208,0.4792,0.4792,0.0208,0,0,0,57.226,59.92,NA,64.07,62.45144
2018.3333333333333,2018,5,7,6499723,0,0.1667,0.6667,0.1667,0,0,0,68.756,71.425,NA,74.06,74.05279
2018.4166666666667,2018,6,7,6499723,0,0.0208,0.4792,0.4792,0.0208,0,0,76.97,76.024,NA,74.67,81.1917
2018.5,2018,7,29,6499723,0,0,0.1667,0.6667,0.1667,0,0,86.702,89.12,NA,82.21,90.79584
2018.5833333333333,2018,8,77,6499723,0,0,0.0208,0.4792,0.4792,0.0208,0,84.887,85.256,NA,85.82,78.30056
2018.6666666666667,2018,9,95,6499723,0,0,0,0.1667,0.6667,0.1667,0,76.197,75.495,NA,75.51,79.53054
2018.75,2018,10,108,6499723,0.0208,0,0,0.0208,0.4792,0.4792,0,50.475,57.76,NA,60.95,56.70207
2018.8333333333333,2018,11,68,6499723,0.1667,0,0,0,0.1667,0.6667,0,46.844,53.019,NA,54.67,54.59957
2018.9166666666667,2018,12,38,6499723,0.4792,0.0208,0,0,0.0208,0.4792,0,46.033,50.115,NA,54.99,51.23997
2019,2019,1,7,6352273,0.6667,0.1667,0,0,0,0.1667,-147450,42.827,48.734,NA,53.35,51.78063
2019.0833333333333,2019,2,1,6352273,0.4792,0.4792,0.0208,0,0,0.0208,0,44.117,48.963,NA,52.7,51.28912
2019.1666666666667,2019,3,1,6352273,0.1667,0.6667,0.1667,0,0,0,0,41.459,46.331,NA,51.49,48.7645
2019.25,2019,4,0,6352273,0.0208,0.4792,0.4792,0.0208,0,0,0,51.443,56.877,NA,60.06,58.37462
2019.3333333333333,2019,5,2,6352273,0,0.1667,0.6667,0.1667,0,0,0,68.543,68.952,NA,73.96,73.78322
2019.4166666666667,2019,6,2,6352273,0,0.0208,0.4792,0.4792,0.0208,0,0,77.498,77.277,NA,78.56,78.21796
2019.5,2019,7,21,6352273,0,0,0.1667,0.6667,0.1667,0,0,84.212,83.302,NA,83.57,84.28102
2019.5833333333333,2019,8,36,6352273,0,0,0.0208,0.4792,0.4792,0.0208,0,85.553,85.438,NA,85.86,70.40966
2019.6666666666667,2019,9,60,6352273,0,0,0,0.1667,0.6667,0.1667,0,86.648,89.167,NA,83.54,90.79584
2019.75,2019,10,85,6352273,0.0208,0,0,0.0208,0.4792,0.4792,0,72.417,72.754,NA,73.79,73.70176
2019.8333333333333,2019,11,66,6352273,0.1667,0,0,0,0.1667,0.6667,0,66.339,70.96,NA,63.99,73.94241
2019.9166666666667,2019,12,39,6352273,0.4792,0.0208,0,0,0.0208,0.4792,0,60.945,65.29,NA,62.51,62.39532
